ArtistId,Name
1,AC/DC
2,Accept
3,Aerosmith
4,Alanis Morissette
5,Alice In Chains
8,Audioslave
10,Billy Cobham
11,Black Label Society
12,Black Sabbath
13,Body Count
14,Bruce Dickinson
15,Buddy Guy
22,Led Zeppelin
23,Frank Zappa & Captain Beefheart
50,Metallica
51,Queen
52,Kiss
54,Green Day
55,David Coverdale
58,Deep Purple
68,Miles Davis
69,Gene Krupa
76,Creedence Clearwater Revival
78,Def Leppard
79,Dennis Chambers
81,Eric Clapton
82,Faith No More
84,Foo Fighters
85,Frank Sinatra
88,"Guns N' Roses"
90,Iron Maiden
91,James Brown
92,Jamiroquai
94,Jimi Hendrix
95,Joe Satriani
98,Judas Priest
100,Lenny Kravitz
102,Marillion
104,Marvin Gaye
105,Men At Work
110,Nirvana
114,Ozzy Osbourne
116,Passengers
118,Pearl Jam
119,Peter Tosh
120,Pink Floyd
127,Red Hot Chili Peppers
128,Rush
129,Simply Red
131,Smashing Pumpkins
132,Soundgarden
134,Stone Temple Pilots
135,System Of A Down
136,"Terry Bozzio, Tony Levin & Steve Stevens"
137,The Black Crowes
138,The Clash
139,The Cult
140,The Doors
141,The Police
142,The Rolling Stones
143,The Tea Party
144,The Who
150,U2
151,UB40
152,Van Halen
153,Velvet Revolver
154,Whitesnake
166,Avril Lavigne
169,Black Eyed Peas
170,Jack Johnson
171,Ben Harper
172,Snow Patrol
179,Scorpions
196,Cake
204,Temple of the Dog
205,Chris Cornell
227,Luciano Pavarotti
236,James Levine
251,Fretwork
252,Amy Winehouse
265,Julian Bream
266,Martin Roscoe
270,Gerald Moore
274,Nash Ensemble
275,Philip Glass Ensemble
